title,year,month,day,hour,minute,article,cleaned_text,label,location,latitude,longitude
More illegal guns seized as TTPS continues anti-crime raids,2024,7,29,14,19,"Four persons were arrested and three firearms and quantities of ammunition were seized by officers during ongoing anti-crime exercises conducted across several policing divisions this weekend. According to a police report, in the latest exercise, officers conducted an exercise around 6am today, Monday, during which they proceeded to an empty lot of land at Maingot Road, Tunapuna. There, they conducted a search, which resulted in the discovery of a plastic bag containing one AR-15 magazine, and a quantity of assorted ammunition. Meanwhile, Central Division officers conducted an exercise between 2am and 5am on Sunday, during which they proceeded to a bar in the Point Lisas district. There, the officers searched a 20-year-old male suspect. The search resulted in the discovery of a black and grey Taurus pistol fitted with a magazine loaded with 17 rounds of ammunition in his possession. The man was arrested in connection with the find. And, in the Santa Cruz district, officers conducted a road block exercise during the early hours of Sunday, when they stopped and searched a silver-colouredNissan B-12 motor vehicle, with one male occupant. A search of the vehicle resulted in officers finding one Smith and Wesson revolver loaded with five rounds of ammunition.The driver, a 36-year-old man of Las Cuevas, was arrested in connection with the find. Also, personnel of the North Central Division Gang and Intelligence Unit and Task Force, Area West, around the same time, during whichthey proceeded to the Curepe district. During the exercise, officers proceeded to a bar where they held twosuspects, ages 33 and 25, for possession of one Glock pistol loadedwith 14 rounds of ammunition.",four person arrested three firearm quantity ammunition seized officer ongoing anticrime exercise conducted across several policing division weekend according police report latest exercise officer conducted exercise around today monday proceeded empty lot land maingot road tunapuna conducted search resulted discovery plastic bag containing one ar magazine quantity assorted ammunition meanwhile central division officer conducted exercise sunday proceeded bar point lisas district officer searched yearold male suspect search resulted discovery black grey taurus pistol fitted magazine loaded round ammunition possession man arrested connection find santa cruz district officer conducted road block exercise early hour sunday stopped searched silvercolourednissan b motor vehicle one male occupant search vehicle resulted officer finding one smith wesson revolver loaded five round ammunitionthe driver yearold man la cuevas arrested connection find also personnel north central division gang intelligence unit task force area west around time whichthey proceeded curepe district exercise officer proceeded bar held twosuspects age possession one glock pistol loadedwith round ammunition,non-shooting,N/A,,
PCA probes alleged misconduct at municipal police stations,2024,7,29,14,17,"A series of anonymous reports about alleged police misconduct and criminal activity involving police officers attached to some Municipal Police Stations has prompted an investigation by the Police Complaints Authority (PCA). PCA Deputy Director, Michelle Solomon-Baksh confirmed that an investigation has begun into the serious claims made against municipal cops at the Port-of-Spain, Siparia and Point Fortin stations. As a result, the Authority urged people to come forward with information that can aid them in their investigation. Solomon-Baksh assured that all information received is protected by the PCA Act and will remain confidential. People with such information can contact the PCA at 226-4722, email atinfo@pca.org.tt, or visit the PCA's offices at Level 24, Tower D, International Waterfront Centre, 1A Wrightson Road, Port-of-Spain.",series anonymous report alleged police misconduct criminal activity involving police officer attached municipal police station prompted investigation police complaint authority pca pca deputy director michelle solomonbaksh confirmed investigation begun serious claim made municipal cop portofspain siparia point fortin station result authority urged people come forward information aid investigation solomonbaksh assured information received protected pca act remain confidential people information contact pca email atinfopcaorgtt visit pcas office level tower international waterfront centre wrightson road portofspain,non-shooting,N/A,,
"Man arrested, marijuana seized during police exercises ",2024,7,29,11,19,"Police arrested one man and seized a quantity of drugs during anti-crime exercises in the Western Division on Saturday. According to a Trinidad and Tobago Police Service (TTPS) report, during one exercise in Cocorite, officers had cause to search a shed where they found a man who had two transparent plastic bags containing a quantity of marijuana. The suspect was arrested and conveyed to the St James Police Station along with the illegal items. Additionally, officers of the Western Division Task Force based on intelligence information, pursued a silver-coloured wagon in the La Horquette Valley Road area. The vehicle was proceeding in a southerly direction, however, the driver evaded the officers after throwing a package out of the vehicle near the river. The officers searched the area and found three blue packages containing a large quantity of marijuana. Police say an extensive search was conducted in an attempt to locate the suspect however it proved futile. The items found and seized were conveyed to the St James Police Station.",police arrested one man seized quantity drug anticrime exercise western division saturday according trinidad tobago police service ttps report one exercise cocorite officer cause search shed found man two transparent plastic bag containing quantity marijuana suspect arrested conveyed st james police station along illegal item additionally officer western division task force based intelligence information pursued silvercoloured wagon la horquette valley road area vehicle proceeding southerly direction however driver evaded officer throwing package vehicle near river officer searched area found three blue package containing large quantity marijuana police say extensive search conducted attempt locate suspect however proved futile item found seized conveyed st james police station,non-shooting,N/A,,
"Elderly man abducted, robbed, beaten in traumatic ordeal",2024,7,29,9,37,"An 84-year-old man was assaulted, robbed and kidnapped from Maraval. The victim told police that around 6pm on Saturday he was standing outside his home along Perseverance Road when he was confronted by three men. The suspects were all masked and one man was said to be holding a firearm. They announced a hold-up and forced the victim into his silver Nissan Wagon that was parked nearby. They then drove off. The victim told police that he was assaulted, and following which he soon became unconscious. Upon awakening, he found himself in his car, which was stuck in a ditch in a bushy area. He made checks and realized that his mobile phone as well as around $4,000 were missing. He attempted to move the car, but was unsuccessful. The pensioner said he then stood there trying to flag down passing vehicles for assistance. While no one stopped to help the elderly man, one of the drivers apparently called the police, and a team of officers led by PC Harribans and PC Pamponette responded. They made their way to Sar Sar Trace in Arima, where they found the vehicle and the 84-year-old man, who relayed to them his ordeal. The victim was then taken to the Arima Hospital for treatment. PC Belma is continuing enquiries. More on this as it becomes available.",yearold man assaulted robbed kidnapped maraval victim told police around pm saturday standing outside home along perseverance road confronted three men suspect masked one man said holding firearm announced holdup forced victim silver nissan wagon parked nearby drove victim told police assaulted following soon became unconscious upon awakening found car stuck ditch bushy area made check realized mobile phone well around missing attempted move car unsuccessful pensioner said stood trying flag passing vehicle assistance one stopped help elderly man one driver apparently called police team officer led pc harribans pc pamponette responded made way sar sar trace arima found vehicle yearold man relayed ordeal victim taken arima hospital treatment pc belma continuing enquiry becomes available,non-shooting,N/A,,
Doubles run leads to death: Man gunned down in St Ann's,2024,7,29,9,21,"The murder of 33-year-old Nickel Morris is currently engaging the attention of police. Morris, of St Ann's Road in St Ann's was shot and killed on Sunday morning while buying doubles. His killing was captured on CCTV cameras near the business, and has since been uploaded on social media sites, with persons describing the incident as 'brazen' and 'shocking'. According to police reports, around 8am on Sunday morning, Morris was standing near the doubles stand at the corner of Sydenham Avenue and the St Ann's Main Road. At the time other people were nearby. A silver grey wagon pulled up next to the business and two armed men emerged from the car - the men proceeded to open fire on Morris, hitting him several times about the body. The suspects then returned to the car and drove off. Auhtorities said no one else was injured in the incident. The police were notified and a team of officers from the Port of Spain division led by Insp Jerry responded. However, Morris died at the scene. Police recovered several spent shells but said there is as yet no motive for the killing. More on this as it becomes available.",murder yearold nickel morris currently engaging attention police morris st anns road st anns shot killed sunday morning buying double killing captured cctv camera near business since uploaded social medium site person describing incident brazen shocking according police report around sunday morning morris standing near double stand corner sydenham avenue st anns main road time people nearby silver grey wagon pulled next business two armed men emerged car men proceeded open fire morris hitting several time body suspect returned car drove auhtorities said one else injured incident police notified team officer port spain division led insp jerry responded however morris died scene police recovered several spent shell said yet motive killing becomes available,fatal shooting,Port spain,10.66,-61.508
Police investigating fatal shooting of contractor,2024,7,28,11,3,"Police are seeking the public's assistance in their investigations into the death of 56-year-old Thomas John. John was said to be from Spring Road off Simon Road, Carapo,. He was a well-known contractor. John was fatally shot around midday on July 25, 2024, along Ambrose Drive in Carapo. At the time he was said to be doing construction work at a home. Police were told that he was confronted by a lone man - dressed in a white jersey, with a slim build and a low haircut - who shot John several times before fleeing the scene on foot. The police were notified and a team of officers led by PC Nunez and PC Durity responded. However, John died at the scene. Police recovered 12 spent shells, and three projectiles on the scene of the shooting. Police have no motive for the incident. Anyone with information which can lead to the arrests of the suspects is asked to contact the Arima police station or the Homicide Bureau. More on this as it becomes available.",police seeking public assistance investigation death yearold thomas john john said spring road simon road carapo wellknown contractor john fatally shot around midday july along ambrose drive carapo time said construction work home police told confronted lone man dressed white jersey slim build low haircut shot john several time fleeing scene foot police notified team officer led pc nunez pc durity responded however john died scene police recovered spent shell three projectile scene shooting police motive incident anyone information lead arrest suspect asked contact arima police station homicide bureau becomes available,fatal shooting,Arima,10.6333,-61.2833
Man gunned down in San Juan,2024,7,28,10,37,,,non-shooting,N/A,,
Tobago police investigating another shooting,2024,7,28,10,32,"Another shooting incident has been reported in Tobago. A 41-year-old man is currently warded in a critical condition nursing a gunshot wound to his neck. The latest report took place around 10:30 pm on Friday along Garden Side Street in Scarborough. Police were told that residents of the area heard a series of loud explosions. Upon investigating they observed the injured man lying on the roadway bleeding from an injury to his neck.Next to him was a man known in the community. The police and emergency health services were notified and a team of officers led by Insp Fraser Ramsey and Sgt Taylor responded. The injured man was conveyed to the Scarborough General Hospital where he was treated. Thankfully, the swift response of the officers also led to the arrest of the suspect - a 41-year-old man from the community. PC Phillip is continuing inquiries. More on this as it becomes available.",another shooting incident reported tobago yearold man currently warded critical condition nursing gunshot wound neck latest report took place around pm friday along garden side street scarborough police told resident area heard series loud explosion upon investigating observed injured man lying roadway bleeding injury necknext man known community police emergency health service notified team officer led insp fraser ramsey sgt taylor responded injured man conveyed scarborough general hospital treated thankfully swift response officer also led arrest suspect yearold man community pc phillip continuing inquiry becomes available,non-fatal shooting,Tobago,11.25,-60.667
Man hospitalised after stabbing in Toco,2024,7,28,10,31,"A 40-year-old man is warded in a serious condition after he was chopped repeatedly in Cumana. The incident was reported around 4am on Friday along the Toco Main Road in Cumana. Police were told that the victim was standing along the roadway waiting on transportation when he observed a man walking towards him with a cutlass in his hand. The victim said he paid the individual no attention. However, when the suspect passed the victim, he suddenly attacked the 40-year-old without warning causing injuries to his chin area, arms and left legs. The victim raised an alarm and the man made good his escape by running into some bushes on the eastern side of the said roadway. The victim was subsequently assisted by villagers and conveyed to the Toco Health Centre. where on arrival he was medically examined. A report was made to the Toco Police Station and a team led by Sgt Edwards responded. The victim was later conveyed to the Sangre Grande Hospital and his condition was listed as stable. Checks were made for the suspect however, he could not be located. Despite this, arrests are said to be imminent. PC Singh is continuing enquiries. More on this as it becomes available.",yearold man warded serious condition chopped repeatedly cumana incident reported around friday along toco main road cumana police told victim standing along roadway waiting transportation observed man walking towards cutlas hand victim said paid individual attention however suspect passed victim suddenly attacked yearold without warning causing injury chin area arm left leg victim raised alarm man made good escape running bush eastern side said roadway victim subsequently assisted villager conveyed toco health centre arrival medically examined report made toco police station team led sgt edward responded victim later conveyed sangre grande hospital condition listed stable check made suspect however could located despite arrest said imminent pc singh continuing enquiry becomes available,non-shooting,N/A,,
Woman stabbed to death in Gasparillo,2024,7,28,10,29,"A 36-year-old woman was fatally stabbed in Gasparillo yesterday morning. The deceased has been identified as Crystal Jiselle Peters. Police were told that around 11:35 am yesterday, residents of Satyam Drive in Reform Residential Phase 2, heard  a  woman screaming. Upon checking they realized the scream was coming from a home that was under construction along the roadway. Three masked men were observed fleeing the structure and entering a maroon vehicle which was parked nearby. Checks were made to the structure, and Peters was found lying on the ground.A knife was said to be seen sticking out to the left side of her neck.The police and emergency health services were notified and officers from the Southern Division responded. However, Peters succumbed to her wounds. The scene was visited by a team of officers led by Snr Sup Sooden, ASP Persad, and Insp Maharaj. Police have no motive for the killing. More on this as it becomes available.",yearold woman fatally stabbed gasparillo yesterday morning deceased identified crystal jiselle peter police told around yesterday resident satyam drive reform residential phase heard woman screaming upon checking realized scream coming home construction along roadway three masked men observed fleeing structure entering maroon vehicle parked nearby check made structure peter found lying grounda knife said seen sticking left side neckthe police emergency health service notified officer southern division responded however peter succumbed wound scene visited team officer led snr sup sooden asp persad insp maharaj police motive killing becomes available,fatal shooting,Gasparillo,10.3167,-61.4333
"SRP granted bail, charged with sex offences against minor",2024,7,25,17,28,"Trigger Warning: This article contains information of a sensitive nature. Details include the sexual assault of minors. The information can potentially be upsetting and may trigger negative feelings or memories. Police said a 52-year-old Special Reserve Police officer was granted bail with surety in the sum of $185,000, when he appeared before a Master of the High Court this week, charged with several sexual offences against a minor. In an update, the Trinidad and Tobago Police Service (TTPS) said No. 10244 PC Kenneth Hazel, last attached to the Eastern Division’s Community Oriented Policing Section, was charged with one count of Sexual Touching and five counts of Sexual Penetration, when he appeared before Master Shabiki Cazabon, in the High Court, North, on July 22, 2024. He was granted bail with the following conditions: that he relocates to the Toco district immediately, to have no contact with the victim either directly or indirectly and to stay at least 50 feet away from the victim. A status hearing is scheduled for May 15, 2025 and the Sufficiency Hearing is carded for June 19, 2025. Reports indicate that during the period May 2022 and July 2022, the accused allegedly sexually touched the victim. It is also alleged that on five occasions during the period January 2, 2024 and July 4, 2024, the accused had sex with the victim. The matter was reported to the police on July 11, 2024 and a male suspect was arrested on July 15, 2024. Investigations were supervised by Insps. Ramkaran and Hosein, both of the Special Victims Department (SVD). Hazel was charged with the offences on July 19, 2024 by Cpl Hazzard, of the Eastern Division Child Protection Unit.",trigger warning article contains information sensitive nature detail include sexual assault minor information potentially upsetting may trigger negative feeling memory police said yearold special reserve police officer granted bail surety sum appeared master high court week charged several sexual offence minor update trinidad tobago police service ttps said pc kenneth hazel last attached eastern division community oriented policing section charged one count sexual touching five count sexual penetration appeared master shabiki cazabon high court north july granted bail following condition relocates toco district immediately contact victim either directly indirectly stay least foot away victim status hearing scheduled may sufficiency hearing carded june report indicate period may july accused allegedly sexually touched victim also alleged five occasion period january july accused sex victim matter reported police july male suspect arrested july investigation supervised insps ramkaran hosein special victim department svd hazel charged offence july cpl hazzard eastern division child protection unit,non-shooting,N/A,,
Coastguardsman robbed of vehicle at gunpoint,2024,7,25,13,21,"A 31-year-old coastguardsman was robbed at gunpoint last night in Arouca. The officer, who is attached to Staubles Bay in Chaguaramas, told investigators that he was seated in his Nissan X-Trail which was parked along Railway Road at 10:40pm. He was confronted by two men, one of whom was holding a firearm. The men announced a robbery and demanded the victim exit his vehicle. The victim complied and was relieved of his car keys. Both suspects entered the victim’s vehicle and drove away. The vehicle contained several itemsof personal value. PC Soyer is continuing enquiries.",yearold coastguardsman robbed gunpoint last night arouca officer attached staubles bay chaguaramas told investigator seated nissan xtrail parked along railway road pm confronted two men one holding firearm men announced robbery demanded victim exit vehicle victim complied relieved car key suspect entered victim vehicle drove away vehicle contained several itemsof personal value pc soyer continuing enquiry,non-shooting,N/A,,
TTR shells found at murder scene,2024,7,25,12,3,"Five spent shells with the markings 'TTR' were among 21 spent shells found at the scene of the murder of 52-year-old Ian Murray yesterday. The marking is usually associated with the T&T Regiment. Murray of La Retreat Road in Arima, was found dead yesterday morning at the Guanapo Landfill near his home. According to reports, around 10:45am yesterday, residents stumbled upon the body and notified the police. A team led by Insp Lewis responded. Police were told that around 4am yesterday several gunshots were heard in the community, however, nothing no one saw anything amiss. Crime scene investigators recovered several spent shells on the scene. Police have no motive for the killing. PC Thomas is continuing enquiries.",five spent shell marking ttr among spent shell found scene murder yearold ian murray yesterday marking usually associated tt regiment murray la retreat road arima found dead yesterday morning guanapo landfill near home according report around yesterday resident stumbled upon body notified police team led insp lewis responded police told around yesterday several gunshot heard community however nothing one saw anything amiss crime scene investigator recovered several spent shell scene police motive killing pc thomas continuing enquiry,fatal shooting,Arima,10.6333,-61.2833
