title,year,month,day,hour,minute,article
More illegal guns seized as TTPS continues anti-crime raids,2024,7,29,14,19,"Four persons were arrested and three firearms and quantities of ammunition were seized by officers during ongoing anti-crime exercises conducted across several policing divisions this weekend. According to a police report, in the latest exercise, officers conducted an exercise around 6am today, Monday, during which they proceeded to an empty lot of land at Maingot Road, Tunapuna. There, they conducted a search, which resulted in the discovery of a plastic bag containing one AR-15 magazine, and a quantity of assorted ammunition. Meanwhile, Central Division officers conducted an exercise between 2am and 5am on Sunday, during which they proceeded to a bar in the Point Lisas district. There, the officers searched a 20-year-old male suspect. The search resulted in the discovery of a black and grey Taurus pistol fitted with a magazine loaded with 17 rounds of ammunition in his possession. The man was arrested in connection with the find. And, in the Santa Cruz district, officers conducted a road block exercise during the early hours of Sunday, when they stopped and searched a silver-colouredNissan B-12 motor vehicle, with one male occupant. A search of the vehicle resulted in officers finding one Smith and Wesson revolver loaded with five rounds of ammunition.The driver, a 36-year-old man of Las Cuevas, was arrested in connection with the find. Also, personnel of the North Central Division Gang and Intelligence Unit and Task Force, Area West, around the same time, during whichthey proceeded to the Curepe district. During the exercise, officers proceeded to a bar where they held twosuspects, ages 33 and 25, for possession of one Glock pistol loadedwith 14 rounds of ammunition."
PCA probes alleged misconduct at municipal police stations,2024,7,29,14,17,"A series of anonymous reports about alleged police misconduct and criminal activity involving police officers attached to some Municipal Police Stations has prompted an investigation by the Police Complaints Authority (PCA). PCA Deputy Director, Michelle Solomon-Baksh confirmed that an investigation has begun into the serious claims made against municipal cops at the Port-of-Spain, Siparia and Point Fortin stations. As a result, the Authority urged people to come forward with information that can aid them in their investigation. Solomon-Baksh assured that all information received is protected by the PCA Act and will remain confidential. People with such information can contact the PCA at 226-4722, email atinfo@pca.org.tt, or visit the PCA's offices at Level 24, Tower D, International Waterfront Centre, 1A Wrightson Road, Port-of-Spain."
"Man arrested, marijuana seized during police exercises ",2024,7,29,11,19,"Police arrested one man and seized a quantity of drugs during anti-crime exercises in the Western Division on Saturday. According to a Trinidad and Tobago Police Service (TTPS) report, during one exercise in Cocorite, officers had cause to search a shed where they found a man who had two transparent plastic bags containing a quantity of marijuana. The suspect was arrested and conveyed to the St James Police Station along with the illegal items. Additionally, officers of the Western Division Task Force based on intelligence information, pursued a silver-coloured wagon in the La Horquette Valley Road area. The vehicle was proceeding in a southerly direction, however, the driver evaded the officers after throwing a package out of the vehicle near the river. The officers searched the area and found three blue packages containing a large quantity of marijuana. Police say an extensive search was conducted in an attempt to locate the suspect however it proved futile. The items found and seized were conveyed to the St James Police Station."
"Elderly man abducted, robbed, beaten in traumatic ordeal",2024,7,29,9,37,"An 84-year-old man was assaulted, robbed and kidnapped from Maraval. The victim told police that around 6pm on Saturday he was standing outside his home along Perseverance Road when he was confronted by three men. The suspects were all masked and one man was said to be holding a firearm. They announced a hold-up and forced the victim into his silver Nissan Wagon that was parked nearby. They then drove off. The victim told police that he was assaulted, and following which he soon became unconscious. Upon awakening, he found himself in his car, which was stuck in a ditch in a bushy area. He made checks and realized that his mobile phone as well as around $4,000 were missing. He attempted to move the car, but was unsuccessful. The pensioner said he then stood there trying to flag down passing vehicles for assistance. While no one stopped to help the elderly man, one of the drivers apparently called the police, and a team of officers led by PC Harribans and PC Pamponette responded. They made their way to Sar Sar Trace in Arima, where they found the vehicle and the 84-year-old man, who relayed to them his ordeal. The victim was then taken to the Arima Hospital for treatment. PC Belma is continuing enquiries. More on this as it becomes available."
Doubles run leads to death: Man gunned down in St Ann's,2024,7,29,9,21,"The murder of 33-year-old Nickel Morris is currently engaging the attention of police. Morris, of St Ann's Road in St Ann's was shot and killed on Sunday morning while buying doubles. His killing was captured on CCTV cameras near the business, and has since been uploaded on social media sites, with persons describing the incident as 'brazen' and 'shocking'. According to police reports, around 8am on Sunday morning, Morris was standing near the doubles stand at the corner of Sydenham Avenue and the St Ann's Main Road. At the time other people were nearby. A silver grey wagon pulled up next to the business and two armed men emerged from the car - the men proceeded to open fire on Morris, hitting him several times about the body. The suspects then returned to the car and drove off. Auhtorities said no one else was injured in the incident. The police were notified and a team of officers from the Port of Spain division led by Insp Jerry responded. However, Morris died at the scene. Police recovered several spent shells but said there is as yet no motive for the killing. More on this as it becomes available."
Police investigating fatal shooting of contractor,2024,7,28,11,3,"Police are seeking the public's assistance in their investigations into the death of 56-year-old Thomas John. John was said to be from Spring Road off Simon Road, Carapo,. He was a well-known contractor. John was fatally shot around midday on July 25, 2024, along Ambrose Drive in Carapo. At the time he was said to be doing construction work at a home. Police were told that he was confronted by a lone man - dressed in a white jersey, with a slim build and a low haircut - who shot John several times before fleeing the scene on foot. The police were notified and a team of officers led by PC Nunez and PC Durity responded. However, John died at the scene. Police recovered 12 spent shells, and three projectiles on the scene of the shooting. Police have no motive for the incident. Anyone with information which can lead to the arrests of the suspects is asked to contact the Arima police station or the Homicide Bureau. More on this as it becomes available."
Man gunned down in San Juan,2024,7,28,10,37,
Tobago police investigating another shooting,2024,7,28,10,32,"Another shooting incident has been reported in Tobago. A 41-year-old man is currently warded in a critical condition nursing a gunshot wound to his neck. The latest report took place around 10:30 pm on Friday along Garden Side Street in Scarborough. Police were told that residents of the area heard a series of loud explosions. Upon investigating they observed the injured man lying on the roadway bleeding from an injury to his neck.Next to him was a man known in the community. The police and emergency health services were notified and a team of officers led by Insp Fraser Ramsey and Sgt Taylor responded. The injured man was conveyed to the Scarborough General Hospital where he was treated. Thankfully, the swift response of the officers also led to the arrest of the suspect - a 41-year-old man from the community. PC Phillip is continuing inquiries. More on this as it becomes available."
Man hospitalised after stabbing in Toco,2024,7,28,10,31,"A 40-year-old man is warded in a serious condition after he was chopped repeatedly in Cumana. The incident was reported around 4am on Friday along the Toco Main Road in Cumana. Police were told that the victim was standing along the roadway waiting on transportation when he observed a man walking towards him with a cutlass in his hand. The victim said he paid the individual no attention. However, when the suspect passed the victim, he suddenly attacked the 40-year-old without warning causing injuries to his chin area, arms and left legs. The victim raised an alarm and the man made good his escape by running into some bushes on the eastern side of the said roadway. The victim was subsequently assisted by villagers and conveyed to the Toco Health Centre. where on arrival he was medically examined. A report was made to the Toco Police Station and a team led by Sgt Edwards responded. The victim was later conveyed to the Sangre Grande Hospital and his condition was listed as stable. Checks were made for the suspect however, he could not be located. Despite this, arrests are said to be imminent. PC Singh is continuing enquiries. More on this as it becomes available."
Woman stabbed to death in Gasparillo,2024,7,28,10,29,"A 36-year-old woman was fatally stabbed in Gasparillo yesterday morning. The deceased has been identified as Crystal Jiselle Peters. Police were told that around 11:35 am yesterday, residents of Satyam Drive in Reform Residential Phase 2, heard  a  woman screaming. Upon checking they realized the scream was coming from a home that was under construction along the roadway. Three masked men were observed fleeing the structure and entering a maroon vehicle which was parked nearby. Checks were made to the structure, and Peters was found lying on the ground.A knife was said to be seen sticking out to the left side of her neck.The police and emergency health services were notified and officers from the Southern Division responded. However, Peters succumbed to her wounds. The scene was visited by a team of officers led by Snr Sup Sooden, ASP Persad, and Insp Maharaj. Police have no motive for the killing. More on this as it becomes available."
"SRP granted bail, charged with sex offences against minor",2024,7,25,17,28,"Trigger Warning: This article contains information of a sensitive nature. Details include the sexual assault of minors. The information can potentially be upsetting and may trigger negative feelings or memories. Police said a 52-year-old Special Reserve Police officer was granted bail with surety in the sum of $185,000, when he appeared before a Master of the High Court this week, charged with several sexual offences against a minor. In an update, the Trinidad and Tobago Police Service (TTPS) said No. 10244 PC Kenneth Hazel, last attached to the Eastern Division’s Community Oriented Policing Section, was charged with one count of Sexual Touching and five counts of Sexual Penetration, when he appeared before Master Shabiki Cazabon, in the High Court, North, on July 22, 2024. He was granted bail with the following conditions: that he relocates to the Toco district immediately, to have no contact with the victim either directly or indirectly and to stay at least 50 feet away from the victim. A status hearing is scheduled for May 15, 2025 and the Sufficiency Hearing is carded for June 19, 2025. Reports indicate that during the period May 2022 and July 2022, the accused allegedly sexually touched the victim. It is also alleged that on five occasions during the period January 2, 2024 and July 4, 2024, the accused had sex with the victim. The matter was reported to the police on July 11, 2024 and a male suspect was arrested on July 15, 2024. Investigations were supervised by Insps. Ramkaran and Hosein, both of the Special Victims Department (SVD). Hazel was charged with the offences on July 19, 2024 by Cpl Hazzard, of the Eastern Division Child Protection Unit."
Coastguardsman robbed of vehicle at gunpoint,2024,7,25,13,21,"A 31-year-old coastguardsman was robbed at gunpoint last night in Arouca. The officer, who is attached to Staubles Bay in Chaguaramas, told investigators that he was seated in his Nissan X-Trail which was parked along Railway Road at 10:40pm. He was confronted by two men, one of whom was holding a firearm. The men announced a robbery and demanded the victim exit his vehicle. The victim complied and was relieved of his car keys. Both suspects entered the victim’s vehicle and drove away. The vehicle contained several itemsof personal value. PC Soyer is continuing enquiries."
TTR shells found at murder scene,2024,7,25,12,3,"Five spent shells with the markings 'TTR' were among 21 spent shells found at the scene of the murder of 52-year-old Ian Murray yesterday. The marking is usually associated with the T&T Regiment. Murray of La Retreat Road in Arima, was found dead yesterday morning at the Guanapo Landfill near his home. According to reports, around 10:45am yesterday, residents stumbled upon the body and notified the police. A team led by Insp Lewis responded. Police were told that around 4am yesterday several gunshots were heard in the community, however, nothing no one saw anything amiss. Crime scene investigators recovered several spent shells on the scene. Police have no motive for the killing. PC Thomas is continuing enquiries."
Mom hands son over to cops for stealing ,2024,7,25,12,3,"A responsible mother handed over her teenaged son to the police last night, after she suspected he was involved in a house breaking and larceny incident in the D’Abadie district. A female victim reported to police that around 7 am on Wednesday, she secured her Maloney Gardens, D’Abadie home and left. She claims when she returned around 4:30 pm, on that same date, she observed the back door to her house open and several items of clothing belonging to her son missing. Around 11:25 pm, a woman contacted the Maloney Police Station and informed officers that she observed her son in possession of clothing she did not purchase for him. The 16-year-old boy was arrested by officers and taken to the Station with the stolen items. There, the victim and her son positively identified the clothing which was taken from their home. Investigations are ongoing."
Man ambushed by gunman while leaving casino,2024,7,25,11,4,"A 58-year-old man was shot dead while walking out of a casino in Union Hall, San Fernando late on Wednesday. Police reports state that around 11pm, gunshots rang out and a man was found slumped over the driver's seat of a white Toyota Axio at V’s Plaza. Officers from the San Fernando Police Station responded and found the victim, later identified as Ricky Loach from Mon Desir Road, South Oropouche. The scene was cordoned off and officers from the Southern Division and the Homicide Bureau, led by Snr Sup Dillpaul and W-Sgt Lazarus, responded. Police were told that shortly before the shooting, Loach had left the casino and was seen walking in the carpark towards his car. A man was then seen exiting a white Nissan Tiida which was parked on the compound. The suspect walked up to Loach and shot him as he was sitting in the car then fled the scene. Several spent shells were recovered by crime scene investigators. Cpl Jaggesar is continuing enquiries. Police have no motive for the killing."
Labourer gunned down outside Fyzabad home,2024,7,25,10,58,"A 35-year-old man was shot dead in Fyzabad yesterday morning. The deceased has been identified as Prince Ralph Maingot of Delhi Road, Fyzabad. He was a labourer. Police were told that around 11:30am, Maingot was talking to a man outside of his home when a silver vehicle pulled up next to them. A masked man exited the car and shot at Maingot, hitting him several times. The suspect then reentered the vehicle and drove away. No other injuries were reported in the incident. The police and emergency health services were notified and a team of officers responded. Maingot died on the scene. Police said that 12 spent shells were recovered from the scene of the shooting. While investigators have no official motive for the killing, they were told that Maingot had a recent falling out with someone from the area. Inquiries are continuing."
Three-year wait for hybrid vehicle ends with fraud charges,2024,7,24,14,53,"The Trinidad and Tobago Police Service (TTPS) said a 41-year-old business woman appeared before the Princes Town Magistrates’ Court on Monday, charged with Fraudulent Conversion in the sum of $143,000. In an update, the TTPS said Terkessa Brereton-Duncan was granted bail in the sum of $175,000 and will next appear in court on February 20, 2025. The charge stems from a report involving a woman who allegedly made multiple payments totalling $143,000 between March 2021 and July 2021, to a business woman, for the purchase of a Roll-on Roll-off Honda Vezel R.S Hybrid vehicle. The vehicle was due to be delivered within two weeks of the full payment. However, despite the full payment being made, the vehicle has not been delivered and attempts to have the money refunded proved futile. On July 18, 2024, officers of the Fraud Squad received information and proceeded to an address at Cipero Road, San Fernando, where they arrested a woman and conveyed her to the Fraud Squad San Fernando Office. The woman was charged by W/Ag/Cpl Lively-John with Fraudulent Conversion on July 19, 2024. The exercise was coordinated by W/ Snr Supt Phillips, supervised by Insp Bachoo, Sgt. Bassarath, Ag/Sgt. Lewis and including W/Ag/Cpl. Lively-John, and PC Ali of the Fraud Squad South Office and assisted by W/Cpl Didier of Guard and Emergency Branch."
Woman in critical condition after being shot in car sale meet-up,2024,7,24,13,48,"A 34-year-old woman is warded in a critical condition at the Port of Spain General Hospital after she was shot in San Juan yesterday afternoon. The victim, who is from Siparia, was shot in front of her nine-year-old son, police said. The child was not harmed. The incident took place around 12:15pm yesterday along Newalloville Avenue, Mission Road, San Juan. The victims made their way to the location in their Nissan Almera along with three other friends, aged 27, 34 and 39. They were there to purchase a vehicle they had seen being advertised on social media. Instead, they were accosted by a man armed with a gun. The driver sped off when he heard several explosions. The 34-year-old woman was shot in the abdomen and despite her cries of pain, he continued driving to the Priority Bus Route. They contacted the police and emergency health services and a team of officers from the North Eastern Division responded. The injured woman was taken to hospital where she was treated. However, her condition, police were told, is serious. Officers of the Inter Agency Task Force also responded and a team of officers, led by Cpl Daniel, received key intelligence which led them to arrest a 20-year-old man from First Street off Sixth Avenue in Barataria. He was held with a loaded gun. The young man was immediately arrested. The other occupants were questioned by police and gave statements. Crime scene investigators also visited the scene of the incident and recovered one spent 9mm shell. The round is expected to undergo ballistic testing to determine if it can be linked to the weapon that was found on the suspect. Once this is done, the 20-year-old, police said, could potentially face a slew of charges including attempted murder; shooting with intent to cause grievous bodily harm; possession of a firearm; possession of ammunition; possession of firearm and ammunition with intent; and robbery related offences. PC Marshall is continuing enquiries."
Man killed in suspected home invasion in Tabaquite,2024,7,24,12,36,"A post-mortem has been ordered to confirm the cause of death of 73-year-old Lutchmipersad Sookram. Sookram, from Piparo Road in Siparia, was found dead at his home around 6:30pm yesterday. Relatives said that they last saw Sookram at the home some 12 hours earlier. When they returned home that evening they observed the home had been ransacked. Sookram was found lying face down on a bed. He was unresponsive. There were apparent marks of violence on his body. The police and emergency health services were notified, but Sookram was pronounced dead at the scene. Police suspect that the 73-year-old man may have sustained injuries during a botched home invasion. A post-mortem was ordered to confirm the cause of death."
"2 held, drugs, firearms seized as cops continue anti-crime offensive",2024,7,24,11,30,"Two men were arrested and two firearms and quantities of ammunition and marijuana seized by officers during ongoing anti-crime exercises in the North Central and North Eastern Divisions on Tuesday. The Trinidad and Tobago Police Service (TTPS) said an exercise was conducted in Area East of the NCD between 2 pm and 6 pm, on July 23, 2024, and included Task Force officers and personnel of the Northern Division’s Special Operations Unit. During the exercise, officers proceeded to Alexander Street, Tacarigua, where they stopped and searched a 23-year-old man and found him to be in possession of a quantity of cocaine. A search of the immediate vicinity of where the suspect was found,resulted in the discovery of a quantity of marijuana and one pistol loaded with a magazine containing 14 rounds of ammunition. The suspect was arrested in connection with the finds. Meanwhile, in the North Eastern Division, Task Force officers responding to a report of shooting in the Morvant district, conducted an exercise between 12:10 pm and 1:25 pm yesterday (Tuesday). During the exercise, officers proceeded to an abandoned structure where they observed a man with a knapsack in his possession. Upon seeing the officers, the man allegedly dropped the bag and entered the structure. Checks revealed the bag contained one AR-15 rifle fitted with a magazine containing three rounds of 5.56 ammunition. The officers subsequently entered the building, where they found the man hiding in one of the rooms. The suspect, a 26-year-old of Barataria, was arrested in connection with the find. Investigations are ongoing into the above matters."
Man left in critical condition after shooting in Tobago,2024,7,24,9,43,"A 28-year-old man is fighting for his life following a shooting in Tobago on Monday. Police were told that around 11:45pm, the victim who is originally from San Fernando in Trinidad but currently resides in Black Rock, was on his way home when he was confronted by an armed man. The victim was shot several times. The suspect then fled the scene. The police and emergency health services were notified and the injured man was taken to the Scarborough General Hospital. His condition was listed as critical. This is the fourth shooting incident reported in Tobago since Friday. In the other three incidents, no serious injuries were recorded, police said. The island is currently experiencing an unprecedented wave of violence which has led to officers from the Guard and Emergency Branch, as well as the Inter Agency Task Force being sent over from Trinidad to supplement the division's police force."
Marketplace meet-up turns into robbery ,2024,7,23,17,27,"The Trinidad and Tobago Police Service is reminding the public to conduct transactions at secure locations, such as a police station and to not part with your goods until you have verified payment. The warning comes after police arrested a suspect and recovered stolen items, following a report of robbery in Port of Spain on Monday. The TTPS said that officers from the Port of Spain Task Force were on patrol when they received a report that two persons were at a gas station located on the corner of Oxford and Charlotte Street, Port of Spain, to conduct a sale of an iPhone 15, after making arrangements with a prospective buyer on Facebook Marketplace. It is alleged that a man approached the passenger side of the vehicle they were in and identified himself as the buyer. The seller began to show the man the cell phone, who then handed over a white envelope and snatched the cell phone valued at $7,500 from the seller andanother iPhone 15 of similar value from the other passenger in the car. He then quickly made his escape, running south, along Charlotte Street. Upon receiving the report, a team of officers conducted a search of the area, during which time a man matching the description of the suspect was approached. When they searched the man they found the two stolen cell phones. The suspect, a 29-year-old from East Dry River was arrested and taken to the Besson Street Police Station."
Top Cop: Attacks on police 'will not be tolerated',2024,7,23,15,1,"Police Commissioner Erla Harewood-Christopher said the recent shooting in which a police officer was injured is ""absolutely unacceptable and will not be taken lightly"". In a statement, Harewood-Christopher said PC Shakala Charles was injured in a shooting during a police patrol along Picadilly street, East Dry River, Port of Spain on Monday night. ""As Commissioner of Police, I am deeply concerned about the  recent incident in which one of our officers was shot and wounded while performing his duties. ""This, and any act of violence committed against any officer of the Trinidad and Tobago Police Service is absolutely unacceptable and will not be taken lightly. ""According to our reports, around 9 pm on Monday 22nd July, 2024, PC Shakala Charles was driving a marked police vehicle in company with other officers of the Guard and Emergency Branch. ""While on patrol along Piccadilly Street, East Dry River, Port of Spain, the officers heard loud explosions emanating from St Paul Street. Upon approaching St Paul Street, they observed a silver seven seater vehicle with sliding doors opened and loud explosions were heard. ""PC Charles felt a burning sensation in his chest and on checking realized that he was shot. He was taken to a medical facility for treatment and is currently in a serious but stable condition. ""We extend our heartfelt wishes for PC Charles’ swift and full recovery."" She said the the TTPS Social Work Unit is also ready to provide comprehensive psycho-social support to aid in his recovery process. She said the police service stands in solidarity with PC Charles and warned that the perpetrators will be brought to justice. ""Every officer of the TTPS is committed to maintaining the safety, peace and security of our beloved nation. ""We stand in solidarity with PC Charles and his family during this challenging time, as this situation shines the spotlight on true courage and commitment of all our officers, who daily put their lives on the line to safeguard our communities. ""As an organization we may be shaken, but we remain undaunted and resolute in our mission to uphold the rule of law and protect every person resident in Trinidad and Tobago. ""Any attack on an officer is an attack on the very foundation on which our society stands, therefore these acts will not be tolerated and we will pursue all necessary measures to bring the perpetrators of this crime to justice. ""Those who feel emboldened to commit acts of lawlessness will feel the full force of the TTPS, as we intensify our efforts against all acts of crime perpetrated against our citizens."" She said that the executive of the Trinidad and Tobago Police Service is committed to preserving the safety of all officers. ""The Executive of the TTPS express our profound gratitude to PC Charles for his service and to all members of the TTPS for their unwavering dedication. ""Your courage and selflessness do not go unnoticed, and we are committed to ensuring your safety as you continue to protect and serve with P.R.I.D.E."""
